title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
OAZ SPF 70 200ml 防晒霜三支装 - 适用于身体和面部，干爽触感,OAZ SPF 70 200ml 防晒霜三支装 - 适用于身体和面部，干爽触感,48.47,https://cf.shopee.com.br/file/br-11134207-81zuo-mkqs2dg186ip67,http://shopee.com.br/product/996750063/52806214587,Bath & Body Care,Sun Care,IVCN202603270444,445564864096,https://detail.1688.com/offer/970290274222.html?spm=a26352.13672862.offerlist.137.587f1e62BhQ1FS&offerId=970290274222&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=0212e306f6404fefba96e420532bb3d2&skuId=6085644214485&forcePC=1773972983417,1688链接,03-27发布,52806214587,48.47834963,四月热招,1
Natura TodoDia什锦香皂套装，5盒，每盒5块,Natura TodoDia什锦香皂套装，5盒，每盒5块,27.5,https://cf.shopee.com.br/file/br-11134207-81z1k-miovinjhmrya94,http://shopee.com.br/product/1029246136/58202418974,Bath & Body Care,Body Wash & Soap,IVCN202603270450,238798138971,https://detail.1688.com/offer/1005276957788.html?spm=a26352.13672862.offerlist.166.4b411e62Vaf2zz&offerId=1005276957788&sortType=&pageId=&abBizDataType=cbuOffer&hotSaleSkuId=6163349890517&trace_log=normal&uuid=1a64bd5e913e4abcabb00107e8b039ec&forcePC=1773972570733,1688链接,03-27发布,58202418974,44.30181163,四月热招,1
CERADAN 高级润肤洗液 500毫升 [有效期至：2027年8月],CERADAN 高级润肤洗液 500毫升 [有效期至：2027年8月],8.8,https://cf.shopee.com.my/file/my-11134207-820lb-mjr5s3rpw26816,http://shopee.com.my/product/1693797767/45905045470,Bath & Body Care,Body Wash & Soap,IVCN202603270454,224643037583,https://detail.1688.com/offer/823522930881.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-27发布,45905045470,99.21766109,四月热招,1
每日光彩 阳光灿烂防晒霜 面部身体防晒霜 涂抹防晒霜 防晒,> SUNNY DAZE TDG,9,https://cf.shopee.ph/file/ph-11134207-81ztg-mk6u9resn75z05,http://shopee.ph/product/290729505/27005797686,Bath & Body Care,Sun Care,IVCN202603270458,410515349821,https://detail.1688.com/offer/1000405491499.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21360a2e17739897987705328e1166&token=fQ5kuufUbClR2JNMcfx6BEOmAtGo5rw%2BLEO93JMlU%2Bh4%2BKHK2xpwDFXHEuTpHCL4,1688链接,03-27发布,27005797686,12.94841191,四月热招,2
Vietcoco 纯椰子油：100% 纯正，1 升 PET 瓶装。,Vietcoco 纯椰子油：100% 纯正，1 升 PET 瓶装。,19.52,https://cf.shopee.vn/file/vn-11134207-7qukw-lheei06jxb03bc,http://shopee.vn/product/367907723/12455480962,Bath & Body Care,Body Oil,IVCN202603270462,122604376586,https://detail.1688.com/offer/1016450125214.html?spm=a26352.13672862.offerlist.39.42bb71d0LbY6DO&cosite=-&tracelog=p4p&_p_isad=1&clickid=aeee5378dd054f86b1bc0cf4bdd540d1&sessionid=1c5ae9e2ca9e4d8795b44f4260aec4f9,1688链接,03-27发布,12455480962,19.52821061,四月热招,1
泰国ALADA美白皂160克，ALADA DEWY强效美白皂，DELI皂[原装],阿拉达大橙子,2.54,https://cf.shopee.ph/file/ph-11134207-81ztj-mks804pgov7ld8,http://shopee.ph/product/31106178/57556245850,Bath & Body Care,Body Wash & Soap,IVCN202603270464,385565841244,https://detail.1688.com/offer/1005285493083.html?spm=a26352.b28411319/2508.0.0,1688链接,03-27发布,57556245850,2.5490674,四月热招,2
两支装天然水晶石除臭剂，每支60克 | 无香型，不沾染衣物，低致敏性，止汗,套装 1*60克,5.5,https://cf.shopee.com.br/file/br-11134207-81zu5-mkm9e9viqdc309,http://shopee.com.br/product/1430771203/58255104536,Bath & Body Care,Body Deodorants,IVCN202603270468,189185735067,https://detail.1688.com/offer/796523459487.html?spm=a26352.b28411319/2508.0.0,1688链接,03-27发布,58255104536,5.577125234,四月热招,1
Quarxery 净颜去角质凝胶 | 身体去角质凝胶 | 适合所有肤质,50克*2,7.74,https://cf.shopee.com.br/file/br-11134207-81z1k-mie7459631fnd0,http://shopee.com.br/product/1632974621/58202142750,Bath & Body Care,Body Scrub & Peel,IVCN202603270470,228796816184,https://detail.1688.com/offer/980534925907.html?spm=a26352.b28411319/2508.0.0,1688链接,03-27发布,58202142750,7.748435579,四月热招,1
Hetras Hotel Therapy 香氛沐浴露 1013毫升,#20 桑塔尔清新,19.05,https://cf.shopee.vn/file/vn-11134207-820l4-mipzgr3kp0qu9c,http://shopee.vn/product/253498228/45553798811,Bath & Body Care,Body Wash & Soap,IVCN202603270472,350359107742,https://detail.1688.com/offer/1015256338818.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-27发布,45553798811,19.05690598,四月热招,1
香蕉船运动型敏感肌矿物防晒乳液 SPF50++++ 90毫升,香蕉船运动型敏感肌矿物防晒乳液 SPF50++++ 90毫升,6,https://cf.shopee.ph/file/ph-11134207-7ra0q-mbjf71ekhszjf4,http://shopee.ph/product/1553019063/42156511143,Bath & Body Care,Sun Care,IVCN202603270476,253572472907,https://detail.1688.com/offer/999814083300.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,03-27发布,42156511143,16.54128498,四月热招,1
K BROTHER 原装正品米浆皂💯💯（12块装）,K BROTHER 原装正品米浆皂💯💯（12块装）,8.52,https://cf.shopee.com.my/file/my-11134207-820le-mgzsbd42rk0dbe,http://shopee.com.my/product/1672419934/51701261483,Bath & Body Care,Body Wash & Soap,IVCN202603270480,375113725755,https://detail.1688.com/offer/893196473438.html?spm=a26352.b28411319/2508.0.0,1688链接,03-27发布,51701261483,13.3285776,四月热招,1
