title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
【新品上市】Glad2Glow 白松露亮采精华喷雾 100ml 精华水润亮泽保湿喷雾,速溶玻璃杯 1个,10,https://cf.shopee.com.my/file/my-11134207-820lb-mkc2vfnbc7ibcd,http://shopee.com.my/product/1397279926/44805773775,Skincare,Facial Serum & Essence,IVCN202604011854,267385242841,https://detail.1688.com/offer/964749518457.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b9de517739134101682523e0dd6&token=MTmLEJaPiEiraEsXyCuYUDtbCGc369YAY6uxh23Vwr87qQlCqBW6u2CIQVd6%2Bmb3,1688链接,04-07发布,44805773775,19.65,四月热招,6
Envy Skin 玻尿酸面部精华液 30ml - 减少细纹，深层补水，含有泛醇和维生素 E。,Envy Skin 玻尿酸面部精华液 30ml - 减少细纹，深层补水，含有泛醇和维生素 E。,13.8,https://cf.shopee.com.br/file/sg-11134201-7rdyv-mcuaba5jlqv46d,http://shopee.com.br/product/1675544623/54153494439,Skincare,Facial Serum & Essence,IVCN202604011858,315336663248,https://detail.1688.com/offer/1016355083544.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDIWKUIFGUUV2HJUZFIS2NIJMUOTJSKREU4QZXJZJFSRKXLJGFUTZVLBMEKWSDKRGVMUKYIVMTGSKMGRMVIT2OLJKEONCZKREU2USXI5KVURCJJYZDOUCOGZIT2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688链接,04-07发布,54153494439,16.41,四月热招,1
A10_ Dr.Percent 淡斑粉红亮肤霜 - 淡化黑斑、黄褐斑和雀斑的美白霜。,1管,2.38,https://cf.shopee.vn/file/vn-11134207-81ztc-ml3mnluj2j2d26,http://shopee.vn/product/1160010827/41378454025,Skincare,Facial Moisturizer,IVCN202604031288,440503313336,https://detail.1688.com/offer/1015830736109.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,41378454025,39.82,四月热招,1
促进头发生长的护发油——滋养、强韧、亮泽,促进头发生长的护发油——滋养、强韧、亮泽,5,https://cf.shopee.com.br/file/sg-11134201-824ii-mdzvmjs5o8w42f,http://shopee.com.br/product/1356228646/48254010821,Skincare,Facial Serum & Essence,IVCN202604011862,282302077963,https://detail.1688.com/offer/1018566049995.html?lang=zh&kjSource=pc&fromkv=refer%3AHVDFOR2TGRCFGTSGKJLUWVCDKFGDIWKUIFGUUWKHKUZUITKNIJKUQRJUKRJU4SZXJZJFSRKXLJGFUTZVLBMEKWSDKRGVMUKYIVMTGSKMGRMVIT2OLJKEONBSIRBU2SSYI5GTGRCNJVJTOUCOGZIT2PJ5JU111111&bizType=saasTool&customerId=alipriceLP,1688链接,04-07发布,48254010821,18.9,四月热招,1
理肤泉 Cicaplast Baume B5+ 多效保湿修护霜 40/100ml (cosme),Kem 100毫升,7,https://cf.shopee.vn/file/vn-11134207-820l4-mjtkpe3mmn0g6e,http://shopee.vn/product/1689793732/56005238827,Skincare,Facial Moisturizer,IVCN202604031290,405548306047,https://detail.1688.com/offer/1009545988520.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,56005238827,38.49,四月热招,1
抗皱贴套装，16片装，可重复使用，适用于面部，硅胶胶带，抗皱，针对面部细纹。,面部和颈部,13.5,https://cf.shopee.com.br/file/cn-11134207-820l4-mk38rdum3ci0e5,http://shopee.com.br/product/1311479629/28536374511,Skincare,Face Mask & Packs,IVCN202604011866,330507145094,https://detail.1688.com/offer/776217510562.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,28536374511,30.8,四月热招,3
【退货超额订单】BEYOND ANGLE AQUA 保湿霜 150毫升,蓝色开箱,11.76,https://cf.shopee.vn/file/vn-11134207-7r98o-lxf6yxl2825543,http://shopee.vn/product/37356517/26154719717,Skincare,Facial Moisturizer,IVCN202604031292,166561900982,https://detail.1688.com/offer/910321840080.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,26154719717,11.77,四月热招,1
TITIKGERSANG 女士。原装正品。免费使用方法，并赠送芦荟润唇膏🫶,TITIKGERSANG 女士。原装正品。免费使用方法，并赠送芦荟润唇膏🫶,2.08,https://cf.shopee.com.my/file/my-11134207-820lg-mkflhvuk5n2e90,http://shopee.com.my/product/1563422546/44655962612,Skincare,Lip Treatment,IVCN202604031294,330538238926,https://detail.1688.com/offer/974310802519.html?spm=a26352.13672862.offerlist.19.aa627bc0FlftUY&cosite=-&tracelog=p4p&_p_isad=1&clickid=323d5ea8491c43e5982dd1e6965f6bb8&sessionid=7748979649dc56229b5a23ee683569ab,1688链接,04-07发布,44655962612,60.63,四月热招,1
【正品国产】后碧珠终极修复青春精华套装,全套,43,https://cf.shopee.vn/file/vn-11134207-7ra0g-m8m0e07p7hok09,http://shopee.vn/product/4627302/26731723947,Skincare,Facial Serum & Essence,IVCN202604011872,218428901664,https://detail.1688.com/offer/849794802527.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17736341510084246e10bc&token=Z8BE4sx1%2FXa%2B75A1ASmO9yJg79NbdpIVXhQRTvSr5KzIJzosItMrqKAkovqNo1C%2B,1688链接,04-07发布,26731723947,230.13,四月热招,1
Medicube 零毛孔棉片（温和型）70片装,零毛孔棉,26.86,https://cf.shopee.com.my/file/cn-11134207-820l4-mioaw1zkteroae,http://shopee.com.my/product/1680631095/42127540578,Skincare,Face Scrub & Peel,IVCN202604031296,335351220468,https://detail.1688.com/offer/1036263049410.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,1688链接,04-07发布,42127540578,26.86,四月热招,1
